,CAR MAKE,CAR MAKE LOCATION,CAR MODEL(Full Name),CAR MODEL(Short Name),CAR MODEL LOCATION,CAR TYPE,COLLECT,ADDED,BUYOUT NUM
30,ASTON MARTIN,"(1, 2)",1990 ASTON MARTIN LAGONDA,AM LAGONDA '90,,RETRO SPORTS CARS,SERIES 39,,0
31,ASTON MARTIN,"(1, 2)",2008 ASTON MARTIN DBS,ASTON MARTIN DBS,,GT CARS,SEASONAL,SERIES 29,0
32,ASTON MARTIN,"(1, 2)",2010 ASTON MARTIN ONE-77,AM ONE-77,8.0,SUPER GT,AUTOSHOW,SERIES 13,0
33,ASTON MARTIN,"(1, 2)",2013 ASTON MARTIN V12 VANTAGE S,VANTAGE S '13,,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
34,ASTON MARTIN,"(1, 2)",2016 ASTON MARTIN VANTAGE GT12,AM VANTAGE '16,12.0,TRACK TOYS,ACCOLADE,,0
35,ASTON MARTIN,"(1, 2)",2017 ASTON MARTIN DB11,AM DB11,,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
36,ASTON MARTIN,"(1, 2)",2017 ASTON MARTIN VANQUISH ZAGATO COUPE,AM VANQUISH '17,11.0,SUPER GT,"BACKSTAGE, SEASONAL",SERIES 36,0
37,ASTON MARTIN,"(1, 2)",2017 ASTON MARTIN VULCAN AMR PRO,AM VULCAN AMR,14.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
38,ASTON MARTIN,"(1, 2)",2019 ASTON MARTIN DBS SUPERLEGGERA,AM DBS SL '19,5.0,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
39,ASTON MARTIN,"(1, 2)",2019 ASTON MARTIN VALHALLA CONCEPT CAR,VALHALLA CONCEPT,15.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
40,ASTON MARTIN,"(1, 2)",2019 ASTON MARTIN VANTAGE,AM VANTAGE '19,13.0,GT CARS,"AUTOSHOW, WHEELSPIN",,0
41,ASTON MARTIN,"(1, 2)",2021 ASTON MARTIN DBX,AM DBX '21,6.0,SPORTS UTILITY HEROES,AUTOSHOW DLC,CAR PASS,0
42,ASTON MARTIN,"(1, 2)",2022 ASTON MARTIN VALKYRIE AMR PRO,AM VALKYRIE AMR,10.0,EXTREME TRACK TOYS,"BACKSTAGE, SEASONAL",SERIES 31,0
43,ASTON MARTIN,"(1, 2)",2023 ASTON MARTIN VALKYRIE,AM VALKYRIE,9.0,HYPERCARS,SEASONAL,SERIES 28,0
44,ATS,"(2, 2)",2018 ATS GT,ATS GT '18,1.0,MODERN SUPERCARS,SEASONAL,SERIES 6,0
45,AUDI,"(3, 2)",1983 AUDI SPORT QUATTRO,AUDI QUATTRO,2.0,RETRO RALLY,"AUTOSHOW, WHEELSPIN",,0
46,AUDI,"(3, 2)",1986 AUDI #2 AUDI SPORT QUATTRO S1,#2 AUDI S1,,RALLY MONSTERS,SEASONAL,SERIES 18,0
47,AUDI,"(3, 2)",1995 AUDI AVANT RS 2,AUDI RS2 '95,19.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
48,AUDI,"(3, 2)",2001 AUDI RS 4 AVANT,AUDI RS 4 '01,7.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
49,AUDI,"(3, 2)",2003 AUDI RS 6,AUDI RS 6 '03,12.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
50,AUDI,"(3, 2)",2006 AUDI RS 4,AUDI RS 4 '06,8.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
51,AUDI,"(3, 2)",2009 AUDI RS 6,AUDI RS 6 '09,13.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
52,AUDI,"(3, 2)",2010 AUDI TT RS COUPE,AUDI TT RS,21.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
53,AUDI,"(3, 2)",2011 AUDI RS 3 SPORTBACK,AUDI RS 3,5.0,SUPER HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
54,AUDI,"(3, 2)",2011 AUDI RS 5 COUPE,AUDI RS 5,10.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
55,AUDI,"(3, 2)",2013 AUDI R8 COUPE V10 PLUS 5.2 FSI QUATTRO,AUDI R8 '13,3.0,MODERN SUPERCARS,"WHEELSPIN, SEASONAL",,0
56,AUDI,"(3, 2)",2013 AUDI RS 4 AVANT,AUDI RS 4 '13,9.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
57,AUDI,"(3, 2)",2013 AUDI RS 7 SPORTBACK,AUDI RS 7,16.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
58,AUDI,"(3, 2)",2015 AUDI RS 6 AVANT,AUDI RS 6 '15,14.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
59,AUDI,"(3, 2)",2015 AUDI S1,AUDI S1,,HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
60,AUDI,"(3, 2)",2015 AUDI TTS COUPE,AUDI TTS,24.0,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
61,AUDI,"(3, 2)",2016 AUDI R8 V10 PLUS,AUDI R8 V10 PLUS,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
62,AUDI,"(3, 2)",2018 AUDI RS 4 AVANT,AUDI RS 4 '18,,SUPER SALOONS,SEASONAL,SERIES 8,0
63,AUDI,"(3, 2)",2018 AUDI RS 5 COUPÉ,AUDI RS 5 '18,11.0,SUPER SALOONS,AUTOSHOW DLC,CAR PASS,0
64,AUDI,"(3, 2)",2018 AUDI TT RS,AUDI TT RS '18,22.0,MODERN SPORTS CARS,AUTOSHOW DLC,CAR PASS,0
65,AUDI,"(3, 2)",2020 AUDI RS 3 SEDAN,AUDI RS 3 '20,6.0,SUPER SALOONS,AUTOSHOW DLC,CAR PASS,0
66,AUDI,"(3, 2)",2020 AUDI TT RS COUPE,AUDI TT RS '20,23.0,MODERN SPORTS CARS,SEASONAL,SERIES 32,0
67,AUDI,"(3, 2)",2021 AUDI RS 6 AVANT,AUDI RS 6 '21,15.0,SUPER SALOONS,SEASONAL,SERIES 20,0
68,AUDI,"(3, 2)",2021 AUDI RS 7 SPORTBACK,AUDI RS 7 '21,17.0,SUPER SALOONS,SEASONAL,SERIES 12,0
69,AUDI,"(3, 2)",2021 AUDI RS E-TRON GT,AUDI RS E-TRON,18.0,SUPER SALOONS,SEASONAL,SERIES 12,0
70,AUSTIN-HEALEY,"(4, 2)",1958 AUSTIN-HEALEY SPRITE MKI,SPRITE MKI,1.0,CLASSIC SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
71,AUTO UNION,"(0, 3)",1939 AUTO UNION TYPE D,AUTOUNION TYPE D,1.0,VINTAGE RACERS,AUTOSHOW,,0
72,AUTOMOBILI PININFARINA,"(1, 3)",2020 AUTOMOBILI PININFARINA BATTISTA,BATTISTA '20,1.0,HYPERCARS,AUTOSHOW DLC,EUROPEAN AUTO CAR PACK,0
73,AUTOZAM,"(2, 3)",1993 AUTOZAM AZ-1,AUTOZAM AZ-1 '93,,RETRO HOT HATCH,AUTOSHOW DLC,JDM JEWELS CAR PACK,0
74,BAC,"(3, 3)",2014 BAC MONO,BAC MONO,1.0,TRACK TOYS,"ACCOLADE, WHEELSPIN",,0
75,BENTLEY,"(4, 3)",1930 BENTLEY 8 LITRE,BENTLEY 8 LITRE,1.0,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
76,BENTLEY,"(4, 3)",1930 BENTLEY BLOWER 4-1/2 LITRE SUPERCHARGED,BENTLEY BLOWER,3.0,VINTAGE RACERS,"AUTOSHOW, WHEELSPIN",,0
77,BENTLEY,"(4, 3)",1991 BENTLEY TURBO R,BENTLEY TURBO R,6.0,RETRO SALOONS,SEASONAL,SERIES 12,0
78,BENTLEY,"(4, 3)",2016 BENTLEY BENTAYGA,BENTLEY BENTAYGA,2.0,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
79,BENTLEY,"(4, 3)",2017 BENTLEY CONTINENTAL SUPERSPORTS,BENTLEY CONT '17,4.0,GT CARS,"AUTOSHOW, WHEELSPIN",,0
80,BENTLEY,"(4, 3)",2021 BENTLEY CONTINENTAL GT CONVERTIBLE,BENTLEY CONT GTC,5.0,GT CARS,AUTOSHOW DLC,EUROPEAN AUTO CAR PACK,0
81,BENTLEY,"(4, 3)",2021 BENTLEY FLYING SPUR,FLYING SPUR '21,7.0,SUPER SALOONS,SEASONAL,SERIES 41,0
82,BMW,"(0, 4)",1957 BMW ISETTA 300 EXPORT,BMW ISETTA,7.0,CULT CARS,"AUTOSHOW, WHEELSPIN",,0
83,BMW,"(0, 4)",1973 BMW 2002 TURBO,BMW 2002 TURBO,,CLASSIC SPORTS CARS,BARN FIND,,0
84,BMW,"(0, 4)",1981 BMW M1,BMW M1,9.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
85,BMW,"(0, 4)",1986 BMW M635CSI,BMW M6 '86,,RETRO SALOONS,SEASONAL,SERIES 34,0
86,BMW,"(0, 4)",1988 BMW M5,BMW M5 '88,,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
87,BMW,"(0, 4)",1991 BMW M3,BMW M3 '91,16.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
88,BMW,"(0, 4)",1995 BMW 850CSI,BMW 850CSI,3.0,RETRO SPORTS CARS,SEASONAL,SERIES 25,0
89,BMW,"(0, 4)",1995 BMW M5,BMW M5 '95,27.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
90,BMW,"(0, 4)",1997 BMW M3,BMW M3 '97,17.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
91,BMW,"(0, 4)",2002 BMW M3-GTR,BMW M3-GTR,12.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
92,BMW,"(0, 4)",2002 BMW Z3 M COUPE,BMW Z3,,RETRO SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
93,BMW,"(0, 4)",2003 BMW M5,BMW M5 '03,21.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
94,BMW,"(0, 4)",2005 BMW M3,BMW M3 '05,13.0,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
95,BMW,"(0, 4)",2008 BMW M3,BMW M3 '08,14.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
96,BMW,"(0, 4)",2008 BMW Z4 M COUPE,BMW Z4 '08,,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
97,BMW,"(0, 4)",2009 BMW M5,BMW M5 '09,22.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
98,BMW,"(0, 4)",2010 BMW M3 GTS,BMW E92 M3 GTS,4.0,TRACK TOYS,SEASONAL,SERIES 11,0
99,BMW,"(0, 4)",2011 BMW 1 SERIES M COUPE,BMW 1M,,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
100,BMW,"(0, 4)",2011 BMW X5 M,BMW X5 M,,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
101,BMW,"(0, 4)",2011 BMW X5 M FORZA EDITION,BMW X5M FE,,EXTREME TRACK TOYS,AUTOSHOW DLC,VIP,0
102,BMW,"(0, 4)",2012 BMW M5,BMW M5 '12,23.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
103,BMW,"(0, 4)",2013 BMW M6 COUPE,BMW M6 '13,28.0,GT CARS,"AUTOSHOW, WHEELSPIN",,0
104,BMW,"(0, 4)",2014 BMW M4 COUPE,BMW M4 '14,18.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
105,BMW,"(0, 4)",2015 BMW I8,BMW I8,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
106,BMW,"(0, 4)",2015 BMW X6 M,BMW X6 M,33.0,SPORTS UTILITY HEROES,"WHEELSPIN, SEASONAL",,0
107,BMW,"(0, 4)",2016 BMW M2 COUPÉ,BMW M2,10.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
108,BMW,"(0, 4)",2016 BMW M4 GTS,BMW M4 '16,19.0,TRACK TOYS,CAR COLLECTION,,0
109,BMW,"(0, 4)",2018 BMW #1 BMW M MOTORSPORT M8 GTE,BMW #1 M8,1.0,EXTREME TRACK TOYS,AUTOSHOW DLC,APEX ALLSTARS CAR PACK,0
110,BMW,"(0, 4)",2018 BMW M5,BMW M5 '18,24.0,SUPER SALOONS,"AUTOSHOW, WHEELSPIN",,0
111,BMW,"(0, 4)",2019 BMW Z4 ROADSTER,BMW Z4 '19,,MODERN SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
112,BMW,"(0, 4)",2020 BMW M8 COMPETITION COUPE,BMW M8 COMP,30.0,GT CARS,AUTOSHOW DLC,CAR PASS,0
113,BMW,"(0, 4)",2021 BMW M3 COMPETITION SEDAN,BMW M3 '21,,SUPER SALOONS,"BACKSTAGE, SEASONAL",SERIES 25,0
114,BMW,"(0, 4)",2021 BMW M4 COMPETITION COUPÉ,BMW M4 '21,,SUPER SALOONS,"BACKSTAGE, SEASONAL",SERIES 11,0
115,BMW,"(0, 4)",2022 BMW I4 EDRIVE40,BMW I4 '22,,SUPER SALOONS,SEASONAL,SERIES 25,0
116,BMW,"(0, 4)",2022 BMW IX XDRIVE50,BMW IX '22,8.0,SPORTS UTILITY HEROES,SEASONAL,SERIES 25,0
117,BMW,"(0, 4)",2022 BMW M5 CS,BMW M5 '22,,SUPER SALOONS,SEASONAL,SERIES 41,0
118,BMW,"(0, 4)",2023 BMW M2,BMW M2 '23,,SUPER SALOONS,SEASONAL,SERIES 25,0
119,BRABHAM,"(1, 4)",2019 BRABHAM BT62,BRABHAM BT62,1.0,EXTREME TRACK TOYS,AUTOSHOW DLC,HOT WHEELS EXPANSION,0
120,BUGATTI,"(2, 4)",1926 BUGATTI TYPE 35 C,BUGATTI T35 C,,VINTAGE RACERS,"AUTOSHOW, WHEELSPIN",,0
121,BUGATTI,"(2, 4)",1992 BUGATTI EB110 SUPER SPORT,BUGATTI EB110,,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
122,BUGATTI,"(2, 4)",2011 BUGATTI VEYRON SUPER SPORT,BUGATTI VEYRON,5.0,HYPERCARS,AUTOSHOW,,0
123,BUGATTI,"(2, 4)",2018 BUGATTI CHIRON,BUGATTI CHIRON,1.0,HYPERCARS,"AUTOSHOW, WHEELSPIN",,0
124,BUGATTI,"(2, 4)",2019 BUGATTI DIVO,BUGATTI DIVO,2.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
125,BUICK,"(3, 4)",1970 BUICK GSX,BUICK GSX,1.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
126,BUICK,"(3, 4)",1987 BUICK REGAL GNX,BUICK REGAL GNX,,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
127,CADILLAC,"(4, 4)",2013 CADILLAC XTS LIMOUSINE,CADDY LIMO,3.0,SUPER SALOONS,"BACKSTAGE, SEASONAL",SERIES 15,0
128,CADILLAC,"(4, 4)",2014 CADILLAC CTS-V SPORT WAGON,CTS-V WAGON '14,,MODERN MUSCLE,SEASONAL,SERIES 41,0
129,CADILLAC,"(4, 4)",2015 CADILLAC #3 CADILLAC RACING ATS-V.R,CADILLAC #3 ATS,4.0,EXTREME TRACK TOYS,AUTOSHOW DLC,APEX ALLSTARS CAR PACK,0
130,CADILLAC,"(4, 4)",2016 CADILLAC ATS-V,CADDY ATS-V,1.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
131,CADILLAC,"(4, 4)",2016 CADILLAC CTS-V SEDAN,CADDY CTS-V '16,2.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
132,CADILLAC,"(4, 4)",2022 CADILLAC CT4-V BLACKWING,CADILLAC CT4-V,,MODERN MUSCLE,SEASONAL,SERIES 19,0
133,CADILLAC,"(4, 4)",2022 CADILLAC CT5-V BLACKWING,CADILLAC CT5-V,,MODERN MUSCLE,SEASONAL,SERIES 19,0
134,CAN-AM,"(0, 5)",2018 CAN-AM MAVERICK X RS TURBO R,CAN-AM MAVERICK,,UTV'S,"AUTOSHOW, WHEELSPIN",,0
135,CASEY CURRIE MOTORSPORTS,"(1, 5)",2019 CASEY CURRIE MOTORSPORTS #4402 ULTRA 4 'TROPHY JEEP',#4402 ULTRA 4,,UNLIMITED OFFROAD,AUTOSHOW DLC,RALLY ADVENTURE EXPANSION,0
136,CATERHAM,"(2, 5)",2013 CATERHAM SUPERLIGHT R500,CATERHAM R500,,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
137,CHEVROLET,"(3, 5)",1953 CHEVROLET CORVETTE,CORVETTE '53,,CLASSIC SPORTS CARS,BARN FIND,,0
138,CHEVROLET,"(3, 5)",1953 CHEVROLET CORVETTE FORZA EDITION,CORVETTE '53 FE,27.0,CLASSIC RACERS,"WHEELSPIN, SEASONAL",,0
139,CHEVROLET,"(3, 5)",1955 CHEVROLET 150 UTILITY SEDAN,CHEVY 150 SEDAN,6.0,RODS AND CUSTOMS,"AUTOSHOW, WHEELSPIN",,0
140,CHEVROLET,"(3, 5)",1956 CHEVROLET 'BARBIE MOVIE' CORVETTE EV,BARBIE CORVETTE,2.0,RODS AND CUSTOMS,AUTOSHOW,SERIES 22,0
141,CHEVROLET,"(3, 5)",1957 CHEVROLET BEL AIR,CHEVY BEL AIR,7.0,RODS AND CUSTOMS,"AUTOSHOW, WHEELSPIN",,0
142,CHEVROLET,"(3, 5)",1960 CHEVROLET CORVETTE,CORVETTE '60,28.0,CLASSIC SPORTS CARS,CAR COLLECTION,,0
143,CHEVROLET,"(3, 5)",1964 CHEVROLET IMPALA SUPER SPORT 409,CHEVY IMPALA,15.0,RODS AND CUSTOMS,"AUTOSHOW, WHEELSPIN",,0
144,CHEVROLET,"(3, 5)",1966 CHEVROLET NOVA SUPER SPORT,CHEVY NOVA '66,19.0,CLASSIC MUSCLE,SEASONAL,SERIES 27,0
145,CHEVROLET,"(3, 5)",1967 CHEVROLET CORVETTE STINGRAY 427,CORVETTE '67,29.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
146,CHEVROLET,"(3, 5)",1969 CHEVROLET CAMARO SUPER SPORT COUPE,CHEVY CAMARO '69,11.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
147,CHEVROLET,"(3, 5)",1969 CHEVROLET CAMARO JORDAN LUKA 3 FORZA EDITION,CAMARO FE '69,,TRACK TOYS,AUTOSHOW,SERIES 38,0
148,CHEVROLET,"(3, 5)",1969 CHEVROLET NOVA SUPER SPORT 396,CHEVY NOVA '69,20.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
149,CHEVROLET,"(3, 5)",1970 CHEVROLET CAMARO Z28,CHEVY CAMARO '70,12.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
150,CHEVROLET,"(3, 5)",1970 CHEVROLET CHEVELLE SUPER SPORT 454,CHEVELLE '70,4.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
151,CHEVROLET,"(3, 5)",1970 CHEVROLET CORVETTE ZR-1,CORVETTE '70,30.0,CLASSIC MUSCLE,"WHEELSPIN, SEASONAL",,0
152,CHEVROLET,"(3, 5)",1970 CHEVROLET EL CAMINO SUPER SPORT 454,CHEVY EL CAMINO,14.0,VANS & UTILITY,AUTOSHOW,,0
153,CHEVROLET,"(3, 5)",1972 CHEVROLET K10 CUSTOM,CHEVY K10 '72,17.0,PICKUPS & 4X4S,SEASONAL,SERIES 21,0
154,CHEVROLET,"(3, 5)",1979 CHEVROLET CAMARO Z28,CHEVY CAMARO '79,13.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
155,CHEVROLET,"(3, 5)",1988 CHEVROLET MONTE CARLO SUPER SPORT,CHEVY MONTECARLO,18.0,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
156,CHEVROLET,"(3, 5)",1995 CHEVROLET CORVETTE ZR-1,CORVETTE '95,31.0,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
157,CHEVROLET,"(3, 5)",1996 CHEVROLET IMPALA SUPER SPORT,CHEVY IMPALA '96,16.0,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
158,CHEVROLET,"(3, 5)",2002 CHEVROLET CORVETTE Z06,CORVETTE '02,23.0,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
159,CHEVROLET,"(3, 5)",2009 CHEVROLET CORVETTE ZR1,CORVETTE '09,24.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
160,CHEVROLET,"(3, 5)",2013 CHEVROLET SUMMIT RACING PRO STOCK CAMARO,PRO STOCK CAMARO,35.0,TRACK TOYS,SEASONAL,SERIES 33,0
161,CHEVROLET,"(3, 5)",2015 CHEVROLET CAMARO Z/28,CHEVY CAMARO '15,8.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
162,CHEVROLET,"(3, 5)",2015 CHEVROLET CORVETTE Z06,CORVETTE '15,25.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
163,CHEVROLET,"(3, 5)",2017 CHEVROLET CAMARO ZL1,CHEVY CAMARO '17,9.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
164,CHEVROLET,"(3, 5)",2017 CHEVROLET COLORADO ZR2,CHEVROLET ZR2,5.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
165,CHEVROLET,"(3, 5)",2018 CHEVROLET CAMARO ZL1 1LE,CHEVY CAMARO '18,10.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
166,CHEVROLET,"(3, 5)",2018 CHEVROLET HOT WHEELS COPO CAMARO,COPO CAMARO '18,22.0,TRACK TOYS,AUTOSHOW DLC,HOT WHEELS EXPANSION,0
167,CHEVROLET,"(3, 5)",2019 CHEVROLET CORVETTE ZR1,CORVETTE '19,26.0,TRACK TOYS,ACCOLADE,,0
168,CHEVROLET,"(3, 5)",2020 CHEVROLET #3 CORVETTE RACING C8.R,#3 CHEVY C8.R,1.0,EXTREME TRACK TOYS,AUTOSHOW DLC,APEX ALLSTARS CAR PACK,0
169,CHEVROLET,"(3, 5)",2020 CHEVROLET CORVETTE STINGRAY COUPE,CORVETTE C8 '20,32.0,MODERN SUPERCARS,AUTOSHOW,,0
